age,attrition,businesstravel,dailyrate,distancefromhome,education,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,over18,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,attrition_flag,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,department_Research & Development,department_Sales,maritalstatus_Married,maritalstatus_Single,overtime_Yes,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Male,monthlyincome_log
35.0,No,Travel_Rarely,890,2,3,4,97,3,1,4,2014.0,9687,1,Y,13,3,1,80,0,2,3,3,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,7.608374474380783
36.0,No,Travel_Rarely,852,5,4,2,82,2,1,1,3419.0,13072,9,Y,14,3,4,80,1,6,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,8.13739583005665
33.0,No,Travel_Frequently,1141,1,3,3,42,4,2,1,5376.0,3193,2,Y,19,3,1,80,2,10,3,3,5,3,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,8.589885876809678
35.0,No,Travel_Rarely,464,4,2,3,75,3,1,4,1951.0,10910,1,Y,12,3,3,80,1,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7.5766097669730375
27.0,No,Travel_Rarely,1240,2,4,4,33,3,1,1,2341.0,19715,1,Y,13,3,4,80,1,1,6,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.758760544157663
26.0,Yes,Travel_Rarely,1357,25,3,1,48,1,1,3,2293.0,10558,1,Y,12,3,3,80,0,1,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,7.738052297689316
27.0,No,Travel_Frequently,994,8,3,4,37,3,3,3,8726.0,2975,1,Y,15,3,4,80,0,9,0,3,9,8,1,7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,9.074176947163311
30.0,No,Travel_Frequently,721,1,2,3,58,3,2,4,4011.0,10781,1,Y,23,4,4,80,0,12,2,3,12,8,3,7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8.297045149081827
41.0,Yes,Travel_Rarely,1360,12,3,2,49,3,5,3,16581.0,16280,1,Y,12,3,4,80,0,23,0,3,22,15,15,8,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9.716073048676163
34.0,No,Non-Travel,1065,23,4,2,72,3,2,3,4568.0,10034,0,Y,20,4,3,80,0,10,2,3,9,5,8,7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,8.427049641563272
37.0,No,Travel_Rarely,408,19,2,2,73,3,1,2,3022.0,10227,4,Y,21,4,1,80,0,8,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,8.014004994779459
46.0,No,Travel_Frequently,1211,5,4,1,98,3,2,4,5772.0,20445,4,Y,21,4,3,80,0,14,4,3,9,6,0,8,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8.660947155060933
35.0,No,Travel_Rarely,1229,8,1,4,36,4,1,4,2269.0,4892,1,Y,19,3,4,80,0,1,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7.727535110475448
48.0,Yes,Travel_Rarely,626,1,2,1,98,2,3,3,5381.0,19294,9,Y,13,3,4,80,0,23,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,8.590815331286851
28.0,Yes,Travel_Rarely,1434,5,4,3,50,3,1,3,3441.0,11179,1,Y,13,3,3,80,0,2,3,2,2,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,8.143807976771484
44.0,No,Travel_Rarely,1488,1,5,2,75,3,2,1,5454.0,4009,5,Y,21,4,3,80,1,9,2,2,4,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,8.604287898267172
35.0,No,Non-Travel,1097,11,2,3,79,2,3,1,9884.0,8302,2,Y,13,3,3,80,1,10,3,3,4,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,9.198773735604718
26.0,No,Travel_Rarely,1443,23,3,3,47,2,2,4,4157.0,21436,7,Y,19,3,3,80,1,5,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,8.332789468417959
33.0,No,Travel_Frequently,515,1,2,1,98,3,3,4,13458.0,15146,1,Y,12,3,3,80,0,15,1,3,15,14,8,12,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,9.507403306233716
35.0,No,Travel_Frequently,853,18,5,2,71,3,3,1,9069.0,11031,1,Y,22,4,4,80,1,9,3,2,9,8,1,8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,9.112727543109182
35.0,No,Travel_Rarely,1142,23,4,3,30,3,1,1,4014.0,16002,3,Y,15,3,3,80,1,4,3,3,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,8.297792626380861
31.0,No,Travel_Rarely,655,7,4,4,48,3,2,4,5915.0,9528,3,Y,22,4,4,80,1,10,3,2,7,7,1,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8.68541582383069
37.0,No,Travel_Rarely,1115,1,4,1,51,2,2,3,5993.0,2689,1,Y,18,3,3,80,1,7,2,4,7,5,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8.69851424787661
32.0,No,Travel_Rarely,427,1,3,1,33,3,2,4,6162.0,10877,1,Y,22,4,2,80,1,9,3,3,9,8,7,8,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,8.726318950962243
38.0,No,Travel_Frequently,653,29,5,4,50,3,2,4,2406.0,5456,1,Y,11,3,4,80,0,10,2,3,10,3,9,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7.786136437783072
50.0,No,Travel_Rarely,989,7,2,2,43,2,5,3,16581.0,16701,5,Y,12,3,4,80,1,29,2,2,27,3,13,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,9.716073048676163
59.0,No,Travel_Rarely,1435,25,3,1,99,3,3,1,7637.0,2354,7,Y,11,3,4,80,0,28,3,2,21,16,7,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,8.940891067785461
36.0,No,Travel_Rarely,1223,8,3,3,59,3,3,3,10096.0,8202,1,Y,13,3,2,80,3,17,2,3,17,14,12,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9.219993629004321
55.0,No,Travel_Rarely,836,8,3,4,33,3,4,3,14756.0,19730,2,Y,14,3,3,80,3,21,2,3,5,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,9.59947282546345
36.0,No,Travel_Frequently,1195,11,3,2,95,2,2,2,6499.0,22656,1,Y,13,3,3,80,0,6,3,3,6,5,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,8.779557455883728
45.0,No,Travel_Rarely,1339,7,3,2,59,3,3,1,9724.0,18787,2,Y,17,3,3,80,1,25,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,9.182455168486648
35.0,No,Travel_Frequently,664,1,3,2,79,3,1,1,2194.0,5868,4,Y,13,3,4,80,1,5,2,2,3,2,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,7.693937325509272
36.0,Yes,Travel_Rarely,318,9,3,4,79,2,1,3,3388.0,21777,0,Y,17,3,1,80,1,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,8.128290171607052
59.0,No,Travel_Frequently,1225,1,1,1,57,2,2,3,5473.0,24668,7,Y,11,3,4,80,0,20,2,2,4,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,8.607764889600624
29.0,No,Travel_Rarely,1328,2,3,3,76,3,1,2,2703.0,4956,0,Y,23,4,4,80,1,6,3,3,5,4,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,7.902487437162855
31.0,No,Travel_Rarely,1082,1,4,3,87,3,1,2,2501.0,18775,1,Y,17,3,2,80,0,1,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,7.824845691026857
32.0,No,Travel_Rarely,548,1,3,2,66,3,2,2,6220.0,7346,1,Y,17,3,2,80,2,10,3,3,10,4,0,9,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,8.73568594451502
36.0,No,Travel_Rarely,132,6,3,2,55,4,1,4,3038.0,22002,3,Y,12,3,2,80,0,5,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,8.019283792916793
31.0,No,Travel_Rarely,746,8,4,3,61,3,2,4,4424.0,20682,1,Y,23,4,4,80,0,11,2,3,11,7,1,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,8.39502555744203
35.0,No,Travel_Rarely,776,1,4,3,32,2,2,1,4312.0,23016,0,Y,14,3,2,80,0,16,2,3,15,13,2,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,8.369388996647842
45.0,No,Travel_Rarely,193,6,4,4,52,3,3,1,13245.0,15067,4,Y,14,3,2,80,0,17,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,9.491450899044924
37.0,No,Travel_Rarely,397,7,4,1,30,3,3,3,13664.0,25258,4,Y,13,3,1,80,0,16,3,4,5,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,9.522593098362169
46.0,No,Travel_Rarely,945,5,2,2,80,3,2,2,5021.0,10425,8,Y,22,4,4,80,1,16,2,3,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,8.52158353971753
30.0,No,Travel_Rarely,852,1,1,4,55,2,2,4,5126.0,15998,1,Y,12,3,3,80,2,10,1,2,10,8,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,8.5422759717837
35.0,No,Travel_Rarely,1214,1,3,2,30,2,1,3,2859.0,26278,1,Y,18,3,1,80,0,6,3,3,6,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,7.958576903813898
55.0,No,Travel_Rarely,111,1,2,1,70,3,3,4,10239.0,18092,3,Y,14,3,4,80,1,24,4,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,9.234056898593499
38.0,No,Non-Travel,573,6,3,2,79,1,2,4,5329.0,15717,7,Y,12,3,4,80,3,17,3,3,13,11,1,9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,8.58110651715989
34.0,No,Travel_Rarely,1153,1,2,1,94,3,2,2,4325.0,17736,1,Y,15,3,3,80,0,5,2,3,5,2,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8.372398606513004
56.0,No,Travel_Rarely,1400,7,3,4,49,1,3,4,7260.0,21698,4,Y,11,3,1,80,0,37,3,2,6,4,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,8.890272839380247
23.0,No,Travel_Rarely,541,2,1,3,62,3,1,1,2322.0,9518,3,Y,13,3,3,80,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,7.750614732770409
51.0,No,Travel_Rarely,432,9,4,4,96,3,1,4,2075.0,18725,3,Y,23,4,2,80,2,10,4,3,4,2,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7.638198244285779
30.0,No,Travel_Rarely,288,2,3,3,99,2,2,4,4152.0,15830,1,Y,19,3,1,80,3,11,3,3,11,10,10,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,8.331586243630754
46.0,Yes,Travel_Rarely,669,9,2,3,64,2,3,4,9619.0,13596,1,Y,16,3,4,80,0,9,3,3,9,8,4,7,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,9.171599543659752
40.0,No,Travel_Frequently,530,1,4,3,78,2,4,2,13503.0,14115,1,Y,22,4,4,80,1,22,3,2,22,3,11,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,9.510741216835738
51.0,No,Travel_Rarely,632,21,4,3,71,3,2,4,5441.0,8423,0,Y,22,4,4,80,0,11,2,1,10,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8.601901919343192
30.0,No,Travel_Rarely,1334,4,2,3,63,2,2,2,5209.0,19760,1,Y,12,3,2,80,3,11,4,2,11,8,2,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,8.558335134747413
46.0,No,Travel_Frequently,638,1,3,3,40,2,3,1,10673.0,3142,2,Y,13,3,3,80,1,21,5,2,10,9,9,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,9.27556615689389
32.0,No,Travel_Rarely,1093,6,4,2,87,3,2,3,5010.0,24301,1,Y,16,3,1,80,0,12,0,3,11,8,5,7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,8.519390774959724
54.0,No,Travel_Rarely,1217,2,4,1,60,3,3,3,13549.0,24001,9,Y,12,3,1,80,1,16,5,1,4,3,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9.514141826307847
24.0,No,Travel_Rarely,1353,3,2,1,33,3,2,3,4999.0,17519,0,Y,21,4,1,80,1,4,2,2,3,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,8.517193191416238
28.0,No,Non-Travel,120,4,3,2,43,3,2,3,4221.0,8863,1,Y,15,3,2,80,0,5,3,4,5,4,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,8.348064228408266
58.0,No,Travel_Rarely,682,10,4,4,37,3,4,3,13872.0,24409,0,Y,13,3,3,80,0,38,1,2,37,10,1,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,9.537699784080726
44.0,No,Non-Travel,489,23,3,2,67,3,2,2,2042.0,25043,4,Y,12,3,3,80,1,17,3,4,3,2,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,7.622174594817622
37.0,Yes,Travel_Rarely,807,6,4,3,63,3,1,1,2073.0,23648,4,Y,22,4,4,80,0,7,3,3,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.637234388789473
32.0,No,Travel_Rarely,827,1,1,4,71,3,1,1,2956.0,15178,1,Y,13,3,4,80,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,7.9919305198524775
20.0,Yes,Travel_Frequently,871,6,3,4,66,2,1,4,2926.0,19783,1,Y,18,3,2,80,0,1,5,3,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,7.9817332866918855
34.0,No,Travel_Rarely,665,6,4,1,41,3,2,3,4809.0,12482,1,Y,14,3,3,80,0,16,3,3,16,13,2,10,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,8.478452363099807
37.0,No,Non-Travel,1040,2,2,3,100,2,2,4,5163.0,15850,5,Y,14,3,4,80,1,17,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8.549466751966532
59.0,No,Non-Travel,1420,2,4,3,32,2,5,4,16581.0,21922,9,Y,21,4,4,80,1,30,3,3,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.716073048676163
50.0,No,Travel_Frequently,1115,1,3,1,73,3,5,2,16581.0,9755,3,Y,19,3,1,80,0,28,1,2,8,3,0,7,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,9.716073048676163
25.0,Yes,Travel_Rarely,240,5,3,3,46,2,2,3,5744.0,26959,1,Y,11,3,4,80,0,6,1,3,6,4,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8.656085190282855
25.0,No,Travel_Rarely,1280,7,1,4,64,2,1,4,2889.0,26897,1,Y,11,3,3,80,2,2,2,3,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,7.969011781106478
22.0,No,Travel_Rarely,534,15,3,2,59,3,1,4,2871.0,23785,1,Y,15,3,3,80,0,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7.962763930168115
51.0,No,Travel_Frequently,1456,1,4,1,30,2,3,1,7484.0,25796,3,Y,20,4,3,80,0,23,1,2,13,12,12,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8.920656296853728
34.0,Yes,Travel_Frequently,658,7,3,1,66,1,2,3,6074.0,22887,1,Y,24,4,4,80,0,9,3,3,9,7,0,6,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,8.711937268208748
54.0,No,Non-Travel,142,26,3,4,30,4,4,4,16581.0,13871,2,Y,12,3,3,80,0,23,3,3,5,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9.716073048676163
